INSEE_CO;CP;SUPERFICIE;POPULATION;prob;severite;type_evt;survenance;csq;date_bulletin;Heure_d�p�t;date_prevision;Type 
11099;11600;2590;2384;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11034;11240;459;891;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11432;11290;217;260;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09228;09110;1803;206;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11426;11600;1029;1062;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11267;11200;1082;1243;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11116;11590;2180;4122;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09194;09500;4768;3127;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09169;09600;1246;105;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09053;09250;646;20;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34007;34210;1279;438;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11080;11230;727;174;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09274;09500;891;326;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09052;09500;820;148;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11294;11300;611;58;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11059;11240;563;106;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11254;11290;5644;1912;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11340;11170;637;522;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11273;11200;956;641;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11368;11600;707;110;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09249;09300;1241;152;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66100;66800;2872;161;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66188;66210;1291;261;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11153;11270;473;205;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34158;34210;2765;135;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34006;34210;1115;267;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11067;11200;1402;1461;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66082;66210;4719;414;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09072;09120;406;25;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11264;11200;1437;1301;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09171;09250;748;42;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11205;11600;1030;107;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66080;66360;6433;135;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11136;11270;2489;785;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66020;66210;1795;768;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09330;09250;610;33;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66025;66760;771;1311;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11282;11230;698;47;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66192;66210;841;96;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11215;11600;508;802;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11028;11340;3188;457;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11128;11240;1169;183;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
